0,66,116
1,128,10
2,144,179
3,182,239
4,183,208
5,85,243
6,125,409
7,183,207
8,182,240
9,183,209
10,183,240
11,126,408
12,70,61
13,125,408
14,184,158
15,168,194
16,119,406
17,124,406
18,184,240
19,145,378
20,95,39
21,66,102
22,145,379
23,126,409
24,190,201
25,190,202
26,69,61
27,79,362
28,145,193
29,128,407
30,88,49
31,124,408
32,126,415
33,167,280
34,126,416
35,188,95
36,16,342
37,145,192
38,124,407
39,71,62
40,115,403
41,125,412
42,120,406
43,125,410
44,70,62
45,130,406
46,69,70
47,141,409
48,82,367
49,64,106
50,68,360
51,125,411
52,118,400
53,152,204
54,71,64
55,115,399
56,90,240
57,141,410
58,47,257
59,126,413
60,69,62
61,47,258
62,109,32
63,115,27
64,79,361
65,98,35
66,88,239
67,164,140
68,57,113
69,86,348
70,46,283
71,72,318
72,111,31
73,71,65
74,145,181
75,80,129
76,9,215
77,85,242
78,183,239
79,72,60
80,127,415
81,78,363
82,71,61
83,78,362
84,11,208
85,70,120
86,48,283
87,60,65
88,69,361
89,71,60
90,72,242
91,86,347
92,128,408
93,48,295
94,126,414
95,71,350
96,96,38
97,82,366
98,128,409
99,60,337
100,77,366
101,59,336
102,119,22
103,57,334
104,98,36
105,86,339
106,44,284
107,72,240
108,176,233
109,70,316
110,76,50
111,158,29
112,66,115
113,71,317
114,70,350
115,54,348
116,60,336
117,190,199
118,116,27
119,113,27
120,143,369
121,79,364
122,129,408
123,83,366
124,45,298
125,49,283
126,90,241
127,63,354
128,16,343
129,72,63
130,115,402
131,85,348
132,127,409
133,77,365
134,120,407
135,109,31
136,182,238
137,97,130
138,72,361
139,44,285
140,131,404
141,68,357
142,79,366
143,44,286
144,61,240
145,66,360
146,83,333
147,49,295
148,82,107
149,67,360
150,120,405
151,123,405
152,52,281
153,51,332
154,78,364
155,117,400
156,131,415
157,87,45
158,85,392
159,66,358
160,71,318
161,109,33
162,48,332
163,79,363
164,54,347
165,59,339
166,58,339
167,43,284
168,145,180
169,118,406
170,65,105
171,68,361
172,142,410
173,129,407
174,64,104
175,57,344
176,119,403
177,75,316
178,71,361
179,58,333
180,81,368
181,123,21
182,51,348
183,98,334
184,111,30
185,142,408
186,82,368
187,103,36
188,62,332
189,72,243
190,50,295
191,43,293
192,72,62
193,123,20
194,82,315
195,113,31
196,71,67
197,87,347
198,4,356
199,96,27
200,49,341
201,126,417
202,88,48
203,142,369
204,82,314
205,59,352
206,47,285
207,4,355
208,58,332
209,82,369
210,54,346
211,77,367
212,127,416
213,51,331
214,178,235
215,75,359
216,9,347
217,67,310
218,72,241
219,99,34
220,175,236
221,96,39
222,75,243
223,67,362
224,69,317
225,80,106
226,52,282
227,49,332
228,49,284
229,69,60
230,48,218
231,12,346
232,52,348
233,78,367
234,64,65
235,77,238
236,99,33
237,136,229
238,52,280
239,43,285
240,43,286
241,112,31
242,110,30
243,84,92
244,73,60
245,118,13
246,78,365
247,64,358
248,103,37
249,60,240
250,49,340
251,49,326
252,96,32
253,75,59
254,64,105
255,146,70
256,146,191
257,19,348
258,54,341
259,81,107
260,62,65
261,99,35
262,78,366
263,57,341
264,73,61
265,95,25
266,80,363
267,96,23
268,118,27
269,79,316
270,74,60
271,48,298
272,55,336
273,80,354
274,43,292
275,77,237
276,63,282
277,51,278
278,72,359
279,82,108
280,178,234
281,59,338
282,152,203
283,71,321
284,114,399
285,43,290
286,76,317
287,57,351
288,84,243
289,78,237
290,71,59
291,44,287
292,85,345
293,56,336
294,69,316
295,71,66
296,54,339
297,96,31
298,67,343
299,68,345
300,186,121
301,124,20
302,73,62
303,121,406
304,74,319
305,127,402
306,59,240
307,67,103
308,89,47
309,35,339
310,64,359
311,79,318
312,71,63
313,45,283
314,76,328
315,46,293
316,74,112
317,79,146
318,77,364
319,127,408
320,51,282
321,164,146
322,98,333
323,72,358
324,101,27
325,83,367
326,66,62
327,64,361
328,179,256
329,81,364
330,61,329
331,109,34
332,49,334
333,84,350
334,145,178
335,133,408
336,82,340
337,67,309
338,42,284
339,58,240
340,59,333
341,70,317
342,80,364
343,78,292
344,53,344
345,48,335
346,68,107
347,60,335
348,125,407
349,54,338
350,190,200
351,160,190
352,52,340
353,127,418
354,120,22
355,61,64
356,46,334
357,9,346
358,90,239
359,96,37
360,90,74
361,61,333
362,61,337
363,49,280
364,81,106
365,146,410
366,82,106
367,107,35
368,45,284
369,75,111
370,44,303
371,71,360
372,57,340
373,78,361
374,88,47
375,57,338
376,27,353
377,67,356
378,46,274
379,41,221
380,61,328
381,116,399
382,64,119
383,68,358
384,111,29
385,53,334
386,75,324
387,85,347
388,31,339
389,44,275
390,70,64
391,48,299
392,85,344
393,69,362
394,46,331
395,59,351
396,44,293
397,49,281
398,86,349
399,59,242
400,61,338
401,50,340
402,73,359
403,59,337
404,67,62
405,74,111
406,50,281
407,60,352
408,79,325
409,83,350
410,42,250
411,69,364
412,82,350
413,78,239
414,70,69
415,82,349
416,67,116
417,95,40
418,125,413
419,48,321
420,10,347
421,86,243
422,128,406
423,68,61
424,55,329
425,146,194
426,78,321
427,75,327
428,15,342
429,119,132
430,122,21
431,43,294
432,130,21
433,69,357
434,67,361
435,63,325
436,186,120
437,51,277
438,126,410
439,70,351
440,76,333
441,73,353
442,94,26
443,129,10
444,3,355
445,59,340
446,49,282
447,146,193
448,82,351
449,64,353
450,78,318
451,76,367
452,52,276
453,71,359
454,82,375
455,68,62
456,157,29
457,44,290
458,50,337
459,125,21
460,87,242
461,67,340
462,118,401
463,85,241
464,62,66
465,66,154
466,58,336
467,55,332
468,134,6
469,76,366
470,77,321
471,128,405
472,47,323
473,115,401
474,81,362
475,77,240
476,70,361
477,48,284
478,58,349
479,75,317
480,58,334
481,101,26
482,71,316
483,67,357
484,72,317
485,66,343
486,79,319
487,79,367
488,47,328
489,85,52
490,124,21
491,70,318
492,64,354
493,67,339
494,49,276
495,64,357
496,74,110
497,89,358
498,94,43
499,47,335
500,69,69
501,75,328
502,121,22
503,112,32
504,128,404
505,56,340
506,56,341
507,75,109
508,93,42
509,115,398
510,55,237
511,105,33
512,50,332
